galaxy,n_pts,log_M200,log_c,c_nfw,chi2_nfw,chi2_bur,best,V_max
UGC05721,23,11.5,1.0,10.0,4508.741552385406,4508.741552385405,Burkert,82.6
UGC05750,11,11.5,1.0,10.0,517.4467462231289,517.4467462231287,Burkert,78.9
UGC05764,10,11.5,1.0,10.0,883.1008,883.1007999999999,Burkert,55.8
UGC05829,11,11.5,1.0,10.0,1033.3921792247968,1033.392179224796,Burkert,68.6
UGC05918,8,11.5,1.0,10.0,422.40279999999996,422.40279999999984,Burkert,44.5
UGC05986,15,11.5,1.0,10.0,5825.326394052088,5825.326394052088,Burkert,116.0
UGC06399,9,11.5,1.0,10.0,1783.2961401438129,1783.2961401438126,Burkert,87.6
UGC06446,17,11.5,1.0,10.0,3264.1948243551515,3264.1948243551506,Burkert,84.9
UGC06614,13,11.5,1.0,10.0,3762.485580015439,3762.485580015439,Burkert,205.0
UGC06667,9,11.5,1.0,10.0,1796.6144000000002,1796.6143999999995,Burkert,85.7
UGC06786,45,11.5,1.0,10.0,60487.048762524035,60487.048762524035,Burkert,229.0
UGC06787,71,11.5,1.0,10.0,115633.13247243255,115633.13247243255,Burkert,276.0
UGC06818,8,11.5,1.0,10.0,818.0599227930963,818.0599227930961,Burkert,74.4
UGC06917,11,11.5,1.0,10.0,3858.1632,3858.1631999999995,Burkert,111.0
UGC06930,10,11.5,1.0,10.0,2675.5771883294256,2675.5771883294237,Burkert,109.0
UGC06973,9,11.5,1.0,10.0,8711.590191907435,8711.590191907435,Burkert,180.0
UGC06983,17,11.5,1.0,10.0,5371.59347672363,5371.5934767236295,Burkert,113.0
UGC07089,12,11.5,1.0,10.0,1401.5460648433934,1401.5460648433927,Burkert,79.1
UGC07125,13,11.5,1.0,10.0,1740.7247999999995,1740.7247999999993,Burkert,65.6
UGC07151,11,11.5,1.0,10.0,1807.0048,1807.0047999999997,Burkert,76.2
UGC07323,10,11.5,1.0,10.0,1611.4408,1611.4407999999999,Burkert,85.6
