galaxy,Ud_best,Ub_best,n_pts,rms_RAR,a0_gal
NGC5033,0.5956944465637202,0.4096465587615955,22,0.15807662153588123,1.1755098098141825e-10
NGC5055,0.32229286246001726,0.8812699962779872,28,0.16528920013996043,1.593774529730419e-10
NGC5371,0.36682624816894505,0.7757216262817381,19,1.7890725969988328,4.2245602022146133e-10
NGC5585,0.25821813195943805,0.9129973076283923,24,0.6725881718119869,1.2363938621536606e-10
NGC5907,0.49826835691928845,0.6662121501564982,19,0.6104264262711484,1.8249661988395478e-10
NGC5985,0.9578857224360329,2.9994756104842555,33,0.24586336758522287,1.3292041404820515e-10
NGC6015,0.619677984737791,0.6156785356835457,44,0.40457537806687954,1.4579127921749534e-10
NGC6195,0.21485610516392728,0.6035428045829753,23,0.10481596683751485,1.1348142475251082e-10
NGC6503,0.4854218959575519,0.6746577978297138,31,0.1420045968678089,1.1645729647582515e-10
NGC6674,0.6565690408227961,0.9411886363057429,15,0.2823914351372893,1.464963821601184e-10
NGC6789,1.8720889981836117,0.2477396901510558,4,2.334120028845968,
NGC6946,0.3702802620333381,0.4904073167331793,58,0.08649170170962173,6.796892621986757e-11
NGC7331,0.38601829186081815,0.10095772024244401,36,0.04063436872019082,1.0797849754580876e-10
NGC7793,0.4093150705099107,0.8159794506430624,46,2.445408649981222,1.3494828951118138e-10
NGC7814,1.4455319369815722,0.5154741897083315,18,0.06625615038446661,1.5181457852762598e-10
PGC51017,0.10000000000000059,0.9777099609374988,6,29.920746774189084,3.8277658920252676e-11
UGC00128,0.579299545288086,0.5919903182983395,22,0.8665080385202603,1.237087777034732e-10
UGC00191,0.6217544555664061,0.6147718811035149,9,0.7988363994330899,1.251931425479844e-10
UGC00634,0.444932009279728,0.7297975935041904,4,0.054552384855214846,
UGC00731,2.0368025936186385,0.2932714358344566,12,1.538389391579461,9.339871614186528e-11
UGC00891,0.1000000000000025,0.9974999999999976,5,0.859295430413513,8.962618243235273e-11
UGC01230,0.4922593595460056,0.7393246983177959,11,3.8562636450712042,1.5247336513122467e-10
UGC01281,0.298330926708877,0.8039808513037859,23,0.6191662422386845,1.4121920258603252e-10
UGC02023,0.10000000000020302,0.9792156794416433,5,1.2235557998874083,9.68980114928064e-11
UGC02259,1.2636621454730586,0.2080927481688503,8,0.6062268683798114,1.3499967965659819e-10
UGC02455,0.10000000005205334,0.9792156794053477,8,12.992667616208065,1.3388799441486454e-11
UGC02487,0.8917950166864572,1.2091360038457015,17,0.03154766755067408,1.2103391223992371e-10
UGC02885,0.48158700941130483,0.9823958138935264,19,0.07071575363685373,1.7928936211523144e-10
UGC02916,0.10078486839192782,0.6280781971034595,43,1.1699739837659768,2.89176178887503e-10
UGC02953,0.6187938276678322,0.8002819363027813,115,1.3209977765666339,7.791264340049554e-10
UGC03205,0.617735450249165,0.8491338352672756,48,0.3886868274313442,1.155379982526993e-10
UGC03546,0.4957751460373402,0.4165221041440952,30,0.03594867798000985,1.1808171579492288e-10
UGC03580,0.19303390897175632,0.31442567016907347,47,1.4578720600577946,2.1019238340581438e-10
UGC04278,0.5081645488739017,0.624284815788269,25,1.8537076593631119,1.263710057782035e-10
UGC04305,0.10000000020821434,0.9792156792960355,22,16.359117124713105,2.426702581550948e-11
UGC04325,1.320506471395489,0.13439547002314914,8,0.6685027212746882,1.2692744753769927e-10
UGC04483,0.10000000000000123,0.9862473976612076,8,2.0583315318389186,6.11150986479702e-11
UGC04499,0.2091534554958342,0.9210925811529156,9,0.5564021056725904,1.1842625819872202e-10
UGC05005,0.10000000166571643,0.9982843193922116,11,0.7579033346685627,1.0937114067275634e-10
UGC05253,0.4313331533223391,0.7183809249103066,73,0.5043803087347518,7.15790696518742e-10
UGC05414,0.153788689523935,0.9335979173332445,6,0.017114690451709137,1.1872706582596248e-10
UGC05716,0.6728973504155866,0.5942843547090879,12,0.43307322201961324,1.1601797248884296e-10
UGC05721,1.243599891662594,0.1794800758361761,23,1.4743467174753961,7.680089288812815e-11
UGC05750,0.10000000001301315,0.9792156794326761,11,7.41836005717663,1.0391008712215114e-10
UGC05764,2.733422126657633,0.4935840183151281,10,0.6180337691762254,1.2176738653584164e-10
UGC05829,0.44859676584601393,0.7534822639077898,11,1.3265403202088584,7.093878390124956e-11
UGC05918,0.4812769539654253,0.7612311322242022,8,0.8353539395472716,1.0493655846481842e-10
UGC05986,0.7567471746355284,0.6034019777551272,15,1.0369699678203754,1.1688861859805025e-10
UGC05999,0.1546518802642819,0.9592436838150018,5,0.7414252019604068,1.1948466394396664e-10
UGC06399,0.5133682403713468,0.7212672317400576,9,0.5668125993748895,1.2910012661623403e-10
UGC06446,1.0392923474602838,0.3093166839872682,17,0.4081824155408423,1.2150451490113987e-10
UGC06614,0.36285696708127824,0.38967001861441375,13,0.18472414326313658,1.41702378516375e-10
UGC06628,0.10000000002602644,0.9982843205399945,7,10.345437579981773,3.6567789151908856e-11
UGC06667,2.952539998595989,0.574003534471923,9,0.3533057347515164,1.1822837742197595e-10
UGC06786,0.883440340984089,0.8096574286263789,45,0.47781767680880793,3.0876424893371904e-10
UGC06787,1.2806825453648345,0.5448244730988531,71,0.35487006309536656,2.6719576054893536e-10
UGC06818,0.10645521264523232,0.942668851148336,8,1.7101109720735217,1.5795705952458862e-10
UGC06917,0.5525385349988936,0.6719730255007743,11,0.17204637723124172,1.1698257093177382e-10
UGC06923,0.2491095446050165,0.9062483187764878,6,0.4061846326065334,1.2012751678406854e-10
UGC06930,0.4127680778503418,0.7960623455047604,10,0.6472533026984355,1.2159631147359383e-10
