galaxy,n_pts,a,e_a,b,e_b,rms,gas_frac,log_SB,D
F583-4,12,-16.35124606585611,0.6988041644731743,-64.55846587591921,7.8670819033723625,0.029632080224543778,0.16335734265734264,0.8767949762007006,53.3
IC2574,34,-29.915871767641374,2.4243109214702385,-218.82204865145906,27.99172913995325,0.08169625378333237,0.3098996723996724,0.6196150057428064,3.91
IC4202,32,-12.526139355273278,0.9389645193662924,-26.870528123538744,9.425762981459952,0.17327549188740857,0.10959020679418413,1.8882356732705672,100.4
KK98-251,15,-23.03743870792394,0.6635301381573662,-137.22871298396382,7.585930287205993,0.0468048337921445,0.5317880794701987,0.5877109650189114,6.8
NGC0024,29,-17.689458640947837,0.7051673218939666,-81.96046845295591,7.422630689917962,0.09630214646243647,0.12900432900432898,2.046924174230035,7.3
NGC0055,21,-14.500725845948036,0.8992869389777901,-42.93008044774154,9.891464011992458,0.052819991064900665,0.475609756097561,0.8686444383948257,2.11
NGC0100,21,-13.974305028559192,1.890634877569744,-38.29926531377923,20.851725161756445,0.1621530560505118,0.1904884318766067,0.9894498176666918,13.5
NGC0247,26,-20.76460501403758,1.6695447803811723,-114.19897336943885,18.514728712857146,0.049051068071378275,0.27527389344516495,1.0382226383687185,3.7
NGC0289,28,-17.72068516959203,0.14413766532702715,-79.37664677172728,1.5447382534814227,0.04857480628583715,0.3274176706827309,-0.2839966563652008,20.8
NGC0300,25,-15.571610940537871,0.5205044766053374,-57.169263726659565,5.776383961977506,0.05064026578088966,0.22857142857142856,0.5998830720736879,2.08
NGC0801,13,-18.07942985844014,0.31044967896778336,-82.37744986692243,3.12159313205737,0.0667168366240654,0.16648888888888888,1.6813317059691657,80.7
NGC0891,18,-16.282963408434146,0.31004158309352925,-64.42562469058485,3.0219465985343543,0.06124040206179924,0.09240497446493315,1.6819644589946832,9.91
NGC1003,36,-15.598504276458568,0.1520221408046332,-56.23439687598278,1.7113136602906898,0.03557283236807696,0.2726106346483705,-1.0,11.4
NGC1090,24,-15.909228667050739,0.7349038006998077,-59.8011879008013,7.714304782563075,0.12498534152157012,0.2207117756741251,1.072801149409849,37.0
NGC1705,14,-16.886594972172226,0.20880385393871215,-74.05796620995768,2.301967127687216,0.035108813861808835,0.20070284146233514,-0.721246399047171,5.73
