galaxy,n_pts,hook_fraction,hook_points,sign_changes,null_mean,null_std,null_p95,null_p99,p_value,significant_95,significant_99,rms
NGC1090,24,0.17391304347826086,4,1,0.439304347826087,0.061873460722485354,0.5217391304347826,0.5652173913043478,1.0,False,False,0.12498534152157012
NGC1705,14,0.0,0,0,0.11538461538461538,0.06277601773262513,0.23076923076923078,0.23076923076923078,1.0,False,False,0.035108813861808835
NGC2366,26,0.16,4,1,0.0,0.0,0.0,0.0,0.0,True,True,0.11309533559306421
NGC2403,73,0.1527777777777778,11,3,0.4233888888888889,0.035458156525650486,0.4861111111111111,0.5001388888888888,1.0,False,False,0.033877119791230356
NGC2683,11,0.1,1,0,0.044,0.05642694391866354,0.1,0.2,0.404,False,False,0.03808404339489664
NGC2841,50,0.02040816326530612,1,0,0.18722448979591838,0.04130182683157195,0.2653061224489796,0.2655102040816325,1.0,False,False,0.01806498563680675
NGC2903,34,0.18181818181818182,6,3,0.44193939393939385,0.05331046341612379,0.5454545454545454,0.5757575757575758,1.0,False,False,0.165083482561444
NGC2915,30,0.27586206896551724,8,1,0.4881379310344828,0.05644716995946579,0.5862068965517241,0.6206896551724138,1.0,False,False,0.17595337308718573
NGC2955,24,0.08695652173913043,2,0,0.23008695652173913,0.06399929111138596,0.34782608695652173,0.391304347826087,0.998,False,False,0.04982255655520814
NGC2976,27,0.07692307692307693,2,3,0.0,0.0,0.0,0.0,0.0,True,True,0.09768509094304466
NGC2998,13,0.0,0,0,0.37099999999999994,0.0915793523550903,0.5,0.5833333333333334,1.0,False,False,0.16175153935022835
NGC3109,25,0.20833333333333334,5,3,0.0,0.0,0.0,0.0,0.0,True,True,0.10247046958176866
NGC3198,43,0.14285714285714285,6,5,0.4437142857142858,0.047305539410907434,0.5238095238095238,0.5476190476190477,1.0,False,False,0.11933465055636118
NGC3521,41,0.075,3,0,0.28559999999999997,0.04430169296990804,0.35,0.37524999999999975,1.0,False,False,0.03226479482750443
NGC3726,12,0.2727272727272727,3,1,0.22999999999999998,0.09659919750535034,0.36363636363636365,0.45454545454545453,0.49,False,False,0.043039996110503145
NGC3741,21,0.2,4,4,0.3982,0.06997685331593585,0.5,0.55,1.0,False,False,0.037643754053697874
NGC3769,12,0.0,0,0,0.11436363636363635,0.07859489184923782,0.2727272727272727,0.2727272727272727,1.0,False,False,0.0462733809003378
NGC3877,13,0.25,3,1,0.5306666666666667,0.08899812732112214,0.6666666666666666,0.6674999999999992,1.0,False,False,0.14377248847045246
NGC3893,10,0.0,0,0,0.029333333333333336,0.049975796611095455,0.1111111111111111,0.1111111111111111,1.0,False,False,0.02862049358285868
NGC3917,17,0.0625,1,1,0.4705,0.07429922610633302,0.5625,0.625,1.0,False,False,0.12405679876234252
NGC3949,7,0.0,0,0,0.059666666666666666,0.08721556945612151,0.16666666666666666,0.3333333333333333,1.0,False,False,0.021531768888821468
NGC3953,8,0.0,0,0,0.009428571428571427,0.03546887108897788,0.14285714285714285,0.14285714285714285,1.0,False,False,0.016746263367512993
NGC3972,10,0.1111111111111111,1,1,0.4711111111111111,0.10786365421788087,0.6666666666666666,0.6666666666666666,1.0,False,False,0.07059060243867146
NGC3992,9,0.0,0,0,0.0145,0.040801348016946695,0.125,0.125,1.0,False,False,0.02486927653653486
NGC4010,12,0.45454545454545453,5,1,0.5012727272727272,0.09385253070994493,0.6363636363636364,0.7272727272727273,0.844,False,False,0.05632355134622479
NGC4013,36,0.05714285714285714,2,0,0.3384571428571428,0.05386516802656994,0.42857142857142855,0.45714285714285713,1.0,False,False,0.03719472086886789
NGC4051,7,0.0,0,0,0.22866666666666666,0.10456470617649997,0.3333333333333333,0.5,1.0,False,False,0.04592005735883962
NGC4068,6,0.2,1,0,0.0,0.0,0.0,0.0,0.0,True,True,0.09852771547166077
NGC4085,7,0.3333333333333333,2,1,0.526,0.13659184943961092,0.6666666666666666,0.8333333333333334,0.984,False,False,0.11115063142452045
NGC4088,12,0.09090909090909091,1,1,0.2027272727272727,0.08743828992755144,0.36363636363636365,0.45454545454545453,0.994,False,False,0.03692046764021596
NGC4100,24,0.043478260869565216,1,1,0.274,0.06528686155050886,0.391304347826087,0.43478260869565216,1.0,False,False,0.034021992987063446
NGC4138,7,0.0,0,0,0.03266666666666666,0.06616141876753653,0.16666666666666666,0.16666666666666666,1.0,False,False,0.04448726442457686
NGC4157,17,0.0,0,1,0.197125,0.0745372180524602,0.3125,0.375,1.0,False,False,0.035801490069920804
NGC4183,23,0.0,0,0,0.31645454545454543,0.06569016933383137,0.4090909090909091,0.45454545454545453,1.0,False,False,0.04380631690216651
NGC4214,14,0.0,0,0,0.3247692307692307,0.09347708006266253,0.46153846153846156,0.5384615384615384,1.0,False,False,0.09882777893817467
NGC4217,19,0.05555555555555555,1,1,0.4405555555555556,0.06659950320505773,0.5555555555555556,0.5561111111111107,1.0,False,False,0.1178396534228605
NGC4389,6,1.0,5,0,0.7155999999999999,0.15387215472592825,1.0,1.0,0.112,False,False,0.0797778740423235
NGC4559,32,0.06451612903225806,2,0,0.300258064516129,0.054526015518890476,0.3870967741935484,0.41935483870967744,1.0,False,False,0.027286837427415948
NGC5005,18,0.0,0,0,0.05105882352941177,0.04788163028794176,0.11764705882352941,0.17647058823529413,1.0,False,False,0.022675232230322914
NGC5033,22,0.0,0,0,0.18266666666666664,0.05896122712304142,0.2857142857142857,0.3333333333333333,1.0,False,False,0.04274148510046594
NGC5055,28,0.0,0,0,0.03222222222222222,0.03127601797562347,0.07407407407407407,0.1111111111111111,1.0,False,False,0.014997462444993474
NGC5371,19,0.0,0,0,0.16411111111111112,0.06938628675843272,0.2777777777777778,0.3333333333333333,1.0,False,False,0.052463465432332934
NGC5585,24,0.17391304347826086,4,3,0.46034782608695657,0.06522110134374834,0.5652173913043478,0.6086956521739131,1.0,False,False,0.07386870971563876
NGC5907,19,0.0,0,0,0.21844444444444447,0.07208054479727248,0.3333333333333333,0.3888888888888889,1.0,False,False,0.04377460809982389
NGC5985,33,0.0625,2,0,0.3456875,0.05223665349876464,0.4375,0.46875,1.0,False,False,0.046758087344153085
NGC6015,44,0.09302325581395349,4,3,0.41465116279069764,0.046749970716927,0.4883720930232558,0.5116279069767442,1.0,False,False,0.06022098850781822
NGC6195,23,0.09090909090909091,2,0,0.16818181818181815,0.057746954411480894,0.2727272727272727,0.3181818181818182,0.966,False,False,0.03577812542362139
NGC6503,31,0.03333333333333333,1,0,0.29279999999999995,0.054988321992542694,0.4,0.43333333333333335,1.0,False,False,0.03733841771870084
NGC6674,15,0.0,0,0,0.11957142857142852,0.06607525085468995,0.21428571428571427,0.2857142857142857,1.0,False,False,0.042182867260187294
NGC6946,58,0.08771929824561403,5,2,0.28898245614035084,0.041163503005527326,0.3508771929824561,0.38596491228070173,1.0,False,False,0.02388940406851169
NGC7331,36,0.02857142857142857,1,0,0.11382857142857142,0.043516302363925306,0.17142857142857143,0.2,0.996,False,False,0.015191234661881894
NGC7793,46,0.3333333333333333,15,5,0.4824,0.042922473896923725,0.5555555555555556,0.5777777777777777,1.0,False,False,0.1546830880537077
NGC7814,18,0.0,0,0,0.012470588235294115,0.024891181857357742,0.058823529411764705,0.058823529411764705,1.0,False,False,0.012386639820062903
PGC51017,6,0.0,0,0,0.33440000000000003,0.15131635734447219,0.6,0.6,1.0,False,False,0.2190423741237926
UGC00128,22,0.09523809523809523,2,1,0.3833333333333333,0.06604300117752938,0.47619047619047616,0.5238095238095238,1.0,False,False,0.0816386686330957
UGC00191,9,0.375,3,1,0.36075,0.10875747100774272,0.5,0.625,0.672,False,False,0.0779826922610353
UGC00731,12,0.0,0,0,0.0,0.0,0.0,0.0,1.0,False,False,0.05238526635811264
UGC00891,5,0.5,2,1,0.534,0.17491140614608297,0.75,1.0,0.848,False,False,0.07763250133273562
UGC01230,11,0.2,2,1,0.38859999999999995,0.09700536067661415,0.6,0.6,0.998,False,False,0.16272513188346463
UGC01281,23,0.13636363636363635,3,1,0.0,0.0,0.0,0.0,0.0,True,True,0.04225491346756806
UGC02023,5,0.75,3,0,0.0,0.0,0.0,0.0,0.0,True,True,0.1441268198820318
UGC02259,8,0.0,0,0,0.32428571428571423,0.1243021335623941,0.5714285714285714,0.5714285714285714,1.0,False,False,0.0759394701485688
UGC02455,8,0.7142857142857143,5,1,0.6777142857142856,0.12041289509899862,0.8571428571428571,0.8585714285714272,0.63,False,False,0.03412106886021324
UGC02487,17,0.0,0,0,0.07425,0.04923857735556542,0.125,0.1875,1.0,False,False,0.017696733196881857
UGC02885,19,0.0,0,0,0.17133333333333334,0.06490600991785576,0.2777777777777778,0.3333333333333333,1.0,False,False,0.034512255381811366
UGC02916,43,0.0,0,0,0.405,0.04746343621966047,0.47619047619047616,0.5238095238095238,1.0,False,False,0.10365941760709968
UGC02953,115,0.017543859649122806,2,0,0.45975438596491225,0.025954028064861693,0.5,0.5175438596491229,1.0,False,False,0.11279735870622268
UGC03205,48,0.0,0,0,0.3795744680851063,0.044070810135744314,0.44680851063829785,0.48936170212765956,1.0,False,False,0.060997860284154645
UGC03546,30,0.0,0,0,0.05213793103448276,0.03512938544523388,0.10344827586206896,0.13793103448275862,1.0,False,False,0.019674933130518376
UGC03580,47,0.06521739130434782,3,2,0.44686956521739124,0.045136130996808514,0.5217391304347826,0.5434782608695652,1.0,False,False,0.12538531768783587
UGC04278,25,0.25,6,2,0.0,0.0,0.0,0.0,0.0,True,True,0.13625706137357965
UGC04305,22,0.19047619047619047,4,3,0.0,0.0,0.0,0.0,0.0,True,True,0.14251575693293567
UGC04325,8,0.0,0,1,0.0,0.0,0.0,0.0,1.0,False,False,0.10687855339166454
UGC04483,8,0.14285714285714285,1,1,0.0,0.0,0.0,0.0,0.0,True,True,0.06946033087015317
UGC04499,9,0.25,2,1,0.4475,0.11562331079847177,0.625,0.625,0.992,False,False,0.07432762601288452
UGC05005,11,0.1,1,1,0.4702,0.10005978213048436,0.6,0.7,1.0,False,False,0.10420673651962456
UGC05253,73,0.0,0,0,0.38411111111111107,0.037755467268224555,0.4444444444444444,0.4722222222222222,1.0,False,False,0.07034600257524994
UGC05414,6,0.2,1,1,0.0,0.0,0.0,0.0,0.0,True,True,0.05944224559255606
UGC05716,12,0.0,0,0,0.20109090909090904,0.08146671986941043,0.36363636363636365,0.36363636363636365,1.0,False,False,0.0331237668012507
UGC05721,23,0.09090909090909091,2,3,0.4085454545454545,0.06655414746997024,0.5,0.5454545454545454,1.0,False,False,0.08735475369178054
UGC05750,11,0.1,1,1,0.0,0.0,0.0,0.0,0.0,True,True,0.13892849924292902
UGC05764,10,0.0,0,1,0.0,0.0,0.0,0.0,1.0,False,False,0.11923159507857546
UGC05829,11,0.0,0,2,0.0,0.0,0.0,0.0,1.0,False,False,0.04750832018073079
UGC05918,8,0.0,0,1,0.0,0.0,0.0,0.0,1.0,False,False,0.05870884606561723
UGC05986,15,0.21428571428571427,3,1,0.4432857142857143,0.0881662390843894,0.5714285714285714,0.6428571428571429,1.0,False,False,0.08629727449895751
UGC05999,5,0.25,1,1,0.535,0.18241436346954698,0.75,1.0,0.99,False,False,0.07129694715632959
UGC06399,9,0.125,1,1,0.45625,0.11260411848595947,0.625,0.75,1.0,False,False,0.07332424412474893
UGC06446,17,0.0625,1,1,0.39,0.08009759671800397,0.5,0.5625,1.0,False,False,0.07387559114418944
UGC06614,13,0.0,0,0,0.20216666666666666,0.0863022788420638,0.3333333333333333,0.4166666666666667,1.0,False,False,0.045204386695887874
UGC06628,7,0.0,0,0,0.35566666666666663,0.13744130060178822,0.5,0.6666666666666666,1.0,False,False,0.09715211302642185
UGC06667,9,0.0,0,1,0.0,0.0,0.0,0.0,1.0,False,False,0.06395050123907824
UGC06786,45,0.0,0,0,0.3665454545454545,0.045882170324855046,0.4318181818181818,0.4772727272727273,1.0,False,False,0.06245992205373734
UGC06787,71,0.02857142857142857,2,1,0.3591142857142857,0.03675333109989863,0.4142857142857143,0.42871428571428555,1.0,False,False,0.05185384634861436
UGC06818,8,0.7142857142857143,5,1,0.6331428571428571,0.1322780003921858,0.8571428571428571,0.8571428571428571,0.466,False,False,0.06948902272755285
UGC06917,11,0.1,1,0,0.34179999999999994,0.10233650375110535,0.5,0.6,0.998,False,False,0.04099640573997537
UGC06923,6,0.2,1,0,0.37320000000000003,0.1507373875320917,0.6,0.6,0.978,False,False,0.04409043595509068
UGC06930,10,0.1111111111111111,1,0,0.2868888888888889,0.10536684886389158,0.4444444444444444,0.4444444444444444,0.984,False,False,0.06150689671874881
UGC06973,9,0.0,0,0,0.01125,0.036635877224382114,0.125,0.125,1.0,False,False,0.010960399588112558
UGC06983,17,0.0625,1,1,0.370875,0.07607674989771841,0.5,0.5625,1.0,False,False,0.07476912842384711
UGC07089,12,0.2727272727272727,3,1,0.48345454545454536,0.09573016485314288,0.6363636363636364,0.7272727272727273,0.998,False,False,0.04736943008343947
UGC07125,13,0.0,0,1,0.3718333333333333,0.09371039904348338,0.5,0.5833333333333334,1.0,False,False,0.06399197656645826
UGC07151,11,0.1,1,1,0.41820000000000007,0.0982281018853566,0.6,0.6,1.0,False,False,0.06463094003969579
UGC07261,7,0.0,0,0,0.36,0.12046207333061767,0.5,0.6666666666666666,1.0,False,False,0.0716938576725487
UGC07323,10,0.2222222222222222,2,1,0.0,0.0,0.0,0.0,0.0,True,True,0.04899611824565431
UGC07399,10,0.1111111111111111,1,0,0.2586666666666667,0.10425609494573126,0.4444444444444444,0.4444444444444444,0.988,False,False,0.03965073079755884
UGC07524,31,0.13333333333333333,4,5,0.5124,0.053640946217522203,0.6,0.6333333333333333,1.0,False,False,0.05740621149186514
UGC07559,7,0.5,3,1,0.0,0.0,0.0,0.0,0.0,True,True,0.09777190810632051
UGC07577,9,0.375,3,0,0.0,0.0,0.0,0.0,0.0,True,True,0.0888565736433719
UGC07603,12,0.2727272727272727,3,1,0.43090909090909085,0.09826595721361207,0.6363636363636364,0.6363636363636364,0.992,False,False,0.07290470075895097
UGC07608,8,0.14285714285714285,1,1,0.0,0.0,0.0,0.0,0.0,True,True,0.1409989578255983
UGC07690,7,0.0,0,0,0.026999999999999996,0.06406507108661734,0.16666666666666666,0.16666666666666666,1.0,False,False,0.03759380625289684
UGC07866,7,0.3333333333333333,2,1,0.4856666666666667,0.13235096440063357,0.6666666666666666,0.8333333333333334,0.976,False,False,0.03723177914010335
UGC08286,17,0.0,0,1,0.429875,0.07476828789667449,0.5625,0.625,1.0,False,False,0.05836751123762956
UGC08490,30,0.0,0,0,0.2249655172413793,0.056212438905927885,0.3103448275862069,0.3448275862068966,1.0,False,False,0.023456113321522806
UGC08550,11,0.0,0,0,0.369,0.09868637190615531,0.5,0.6,1.0,False,False,0.04663404021088604
UGC08699,41,0.0,0,0,0.29235,0.04701305669704959,0.375,0.4,1.0,False,False,0.041791374038544174
UGC08837,8,0.2857142857142857,2,0,0.0,0.0,0.0,0.0,0.0,True,True,0.08600409927960342
UGC09037,22,0.19047619047619047,4,1,0.41923809523809524,0.06511082476158467,0.5238095238095238,0.5714285714285714,1.0,False,False,0.06782290068919246
UGC09133,68,0.0,0,0,0.35707462686567165,0.03508645084918462,0.417910447761194,0.43298507462686553,1.0,False,False,0.06383901478366372
UGC09992,5,0.0,0,0,0.009,0.046572524088780064,0.0,0.25,1.0,False,False,0.029442334495826998
UGC10310,7,0.0,0,1,0.44266666666666665,0.11614932917011044,0.6666666666666666,0.6666666666666666,1.0,False,False,0.0660893139850797
UGC11455,36,0.2571428571428571,9,5,0.46245714285714284,0.0479745170451385,0.5428571428571428,0.5714285714285714,1.0,False,False,0.10749661054394312
UGC11557,12,0.45454545454545453,5,1,0.4921818181818181,0.08993128690081313,0.6363636363636364,0.7272727272727273,0.84,False,False,0.3691780625121913
UGC11820,10,0.0,0,1,0.504,0.10379847521418667,0.6666666666666666,0.7777777777777778,1.0,False,False,0.08847577598945215
UGC11914,65,0.0,0,0,0.3590625,0.037835736661917925,0.421875,0.4375,1.0,False,False,0.036114323005461316
UGC12506,31,0.03333333333333333,1,0,0.46553333333333335,0.05082479709747988,0.5333333333333333,0.6,1.0,False,False,0.13334868559664267
UGC12632,15,0.0,0,1,0.48171428571428565,0.07594520043681335,0.6428571428571429,0.6428571428571429,1.0,False,False,0.07702152492746729
UGC12732,16,0.06666666666666667,1,1,0.44120000000000004,0.07977958524724367,0.6,0.6666666666666666,1.0,False,False,0.05954180560639972
UGCA281,7,0.16666666666666666,1,1,0.0,0.0,0.0,0.0,0.0,True,True,0.026653922526100188
UGCA442,8,0.14285714285714285,1,1,0.4271428571428571,0.11587290715367808,0.5714285714285714,0.7142857142857143,1.0,False,False,0.043198663859696916
UGCA444,36,0.34285714285714286,12,11,0.0,0.0,0.0,0.0,0.0,True,True,0.030807506017520483
