galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
UGC07524,31,1.2e-10,0.09761657526989749,1.2e-10,0.09707115475118888,-7.0571034034607445,39.61543309740893,0.05740621149186254,0.03370983584838694,0.8407332346118067,83.8,4.74
UGC07559,7,1.2e-10,0.3563295516783834,1.2e-10,0.35562944173658584,-12.300267649695755,-15.864671343127135,0.09777190810631962,0.0763782784723943,0.6910814921229684,32.1,4.97
UGC07577,9,1.2e-10,0.6801453380033619,1.2e-10,0.6797665045475771,-15.81008237200697,-51.062508401443495,0.08885657364337138,0.08716991053179189,0.7895807121644255,17.8,2.59
UGC07603,12,1.2e-10,0.12120823841863806,1.2e-10,0.12148276801223774,-13.308730569843151,-32.65186183542565,0.07290470075895006,0.03545598585141609,0.5230958382525678,64.0,4.7
UGC07608,8,1.2e-10,0.16648101870086526,1.2e-10,0.1667594537503243,-26.328427375190486,-179.9027042212954,0.14099895782559962,0.10808356740354604,0.5152113043278018,69.3,8.21
UGC07690,7,1.2e-10,0.08887176589175305,1.2e-10,0.08815467622954541,-18.824625970064773,-91.4790482982299,0.03759380625289707,0.019159805778548,0.8175653695597808,60.7,8.11
UGC07866,7,1.2e-10,0.23618864727710337,1.2e-10,0.23549178343437932,-15.242686163422324,-50.24012139666826,0.03723177914012043,0.06662725320588947,0.7656685547590141,33.1,4.57
UGC08286,17,1.2e-10,0.15592592809764635,1.2e-10,0.15693239256650252,-20.871008598130096,-117.18075021380619,0.05836751123762961,0.028453509103055573,0.6263403673750424,84.3,6.5
UGC08490,30,1.2e-10,0.11432621886349761,1.2e-10,0.11596330667214735,-17.7855057265239,-82.51638587726283,0.023456113321522847,0.03639180117081283,-0.8386319977650252,80.1,4.65
UGC08550,11,1.2e-10,0.062457988424649204,1.2e-10,0.06310898767829823,-17.58832366151977,-79.71248434795424,0.046634040210886005,0.052169294867508,-0.44369749923271273,57.8,6.7
UGC08699,41,1.2e-10,0.06294440144901099,1.2e-10,0.0646431541259494,-16.38904510076339,-66.58560821394667,0.04179137403854393,0.0010259244482244546,1.8437309651120921,202.0,39.3
UGC08837,8,1.2e-10,0.4454881462344992,1.2e-10,0.4448572223335011,-29.913195620572214,-213.50682423140998,0.08600409927960283,0.045311552865976074,1.0094508957986938,48.0,7.21
UGC09037,22,1.2e-10,0.24217847739775292,1.2e-10,0.2378044573804597,-14.576719803347716,-44.643383799024214,0.0678229006891922,0.005266141170402325,1.1075491297446862,160.0,83.6
UGC09133,68,1.2e-10,0.07921895010417866,1.2e-10,0.07970997366840672,-17.327326162283313,-75.49604473684347,0.06383901478366377,0.0007389048136159598,1.910143961064513,289.0,57.1
UGC09992,5,1.2e-10,0.3192489566795158,1.2e-10,0.31847783167780264,-28.05101061190108,-192.77595998641542,0.029442334495828625,0.05070794102484541,0.670245853074124,34.3,10.7
UGC10310,7,1.2e-10,0.09009304287850801,1.2e-10,0.08963198845216434,-25.14046355356507,-162.42717425299074,0.0660893139850735,0.027831250205280014,0.8686444383948257,73.2,15.2
UGC11455,36,1.2e-10,0.1307805423939774,1.2e-10,0.12567994181479641,-15.838411857509366,-60.00619796264306,0.10749661054394316,0.0006610463582601741,2.4508262439284194,291.0,78.6
UGC11557,12,1.2e-10,0.656137340083144,1.2e-10,0.6535380995490858,-11.172697203025802,-5.105645099893408,0.3691780625122385,0.004741897681616425,1.7993405494535817,85.0,24.2
UGC11820,10,1.2e-10,0.12313475262028377,1.2e-10,0.12315905612117187,-21.684029544663783,-125.09032545501516,0.0884757759894517,0.07372353805546479,1.2659963704950792,84.45,18.1
UGC11914,65,1.2e-10,0.09787697903061084,1.2e-10,0.11430784536467817,-16.8258905076704,-71.59365296014055,0.036114323005461364,0.00017516689518929987,2.7675714021135156,305.0,16.9
UGC12506,31,1.2e-10,0.2324307198824154,1.2e-10,0.23497402269850348,-20.90533422770874,-115.87658223112848,0.13334868559664267,0.0049319423243495645,1.0425755124401905,255.0,100.6
UGC12632,15,1.2e-10,0.088235664427622,1.2e-10,0.08804435036706657,-26.109421946700405,-175.7770712643871,0.07702152492746626,0.04678953441531931,0.6222140229662954,73.2,9.77
UGC12732,16,1.2e-10,0.07680031453179215,1.2e-10,0.07699158462439865,-22.38244199438333,-133.83345446530097,0.05954180560639987,0.04737468830026473,0.021189299069938092,98.0,13.2
UGCA281,7,1.2e-10,0.11264900491716225,1.2e-10,0.11146005914848531,-16.80841586133664,-69.30638758045991,0.026653922526099872,0.05860244199362805,1.3191060593097763,29.5,5.68
UGCA442,8,1.2e-10,0.08197179575252574,1.2e-10,0.08144442214215401,-14.512876606989511,-43.75329148906427,0.04319866385969733,0.2074613954796129,-0.06550154875643228,57.8,4.35
UGCA444,36,1.2e-10,0.14469841362488453,1.2e-10,0.14415430128470852,-13.33919400734389,-29.537312688157172,0.03080750601752087,0.5299839110721077,-0.1739251972991736,38.3,0.98
