galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
NGC3877,13,1.2e-10,0.2276168837134727,1.2e-10,0.22270013062414779,-6.653194814322817,32.908733888200715,0.1437724884704496,0.0012730512438024588,2.3740147402919116,171.0,18.0
NGC3893,10,1.2e-10,0.03644282697614652,1.2e-10,0.034385460183521385,-16.425267171618227,-66.52919996156955,0.028620493582858193,0.0025583890072643626,1.3941013020400446,194.0,18.0
NGC3917,17,1.2e-10,0.12678038038751838,1.2e-10,0.12638067150665905,-17.504894111433057,-77.64280495573065,0.12405679876234121,0.004466286791785013,1.5625307688622614,138.0,18.0
NGC3949,7,1.2e-10,0.06282995423976818,1.2e-10,0.052990690940551775,-15.452803737280808,-56.54228984013884,0.02153176888882172,0.0018377808181353655,2.0362295440862948,169.0,18.0
NGC3953,8,1.2e-10,0.042004220204670324,1.2e-10,0.0440775942277377,-19.061254425355195,-92.87734758662212,0.01674626336751273,0.0006131267031348006,2.17805561153123,224.0,18.0
NGC3972,10,1.2e-10,0.08465090052353713,1.2e-10,0.08509592944781097,-11.806370672659382,-18.049187372460317,0.07059060243867046,0.004660967785849841,1.871280972857973,134.0,18.0
NGC3992,9,1.2e-10,0.06745104030409478,1.2e-10,0.07163764438129722,-17.966515225802926,-83.14576322005824,0.024869276536535468,0.0017053096002188528,0.7084209001347128,272.0,23.7
NGC4010,12,1.2e-10,0.12321358584856151,1.2e-10,0.12034306178283018,-11.787354257838906,-16.569565504553808,0.0563235513462249,0.005772531363580255,1.655618583541222,129.0,18.0
NGC4013,36,1.2e-10,0.06762201471872527,1.2e-10,0.06412374180713289,-16.356732898600196,-65.10352193060135,0.03719472086886784,0.0019970898861372175,-1.0,198.0,18.0
NGC4051,7,1.2e-10,0.13410123517397013,1.2e-10,0.12734003677188202,-17.728567147527222,-78.43972499998999,0.04592005735883947,0.001280346108127283,2.2522703459883213,161.0,18.0
NGC4068,6,1.2e-10,0.4813396153094247,1.2e-10,0.480511874768376,-33.093796636035535,-246.69867121804768,0.09852771547166111,0.04896913980233008,1.1970047280230458,41.9,4.37
NGC4085,7,1.2e-10,0.25836162060218165,1.2e-10,0.2505359846732737,-9.11108786500267,8.383761687992347,0.11115063142452213,0.001715411124976569,2.249809609401804,136.0,18.0
NGC4088,12,1.2e-10,0.20242953630508015,1.2e-10,0.19470039628989438,-16.48157246340006,-65.10380455514556,0.036920467640215775,0.0018592992100456007,1.5689640044577606,182.0,18.0
NGC4100,24,1.2e-10,0.053029051839759554,1.2e-10,0.05656485689393311,-17.73022232085941,-80.27773946902691,0.03402199298706344,0.0023693288437172965,0.9506082247842308,195.0,18.0
NGC4138,7,1.2e-10,0.05242194870891835,1.2e-10,0.05152756857248054,-17.03716334844757,-72.63998924713624,0.0444872644245763,0.001460086565627884,0.43933269383026263,195.0,18.0
NGC4157,17,1.2e-10,0.11512077659899873,1.2e-10,0.10841708804016886,-16.151769035944362,-62.59242289616274,0.035801490069920436,0.002251649987400026,0.6232492903979004,201.0,18.0
NGC4183,23,1.2e-10,0.0815906316992285,1.2e-10,0.08138740867769827,-19.154727601944366,-95.75485329608628,0.04380631690216642,0.014507797070081785,0.5831987739686227,115.0,18.0
NGC4214,14,1.2e-10,0.2154716901622363,1.2e-10,0.2181232698901325,-16.478039621294293,-68.98104222504664,0.09882777893817449,0.014321065325569577,0.370142847051102,80.6,2.87
NGC4217,19,1.2e-10,0.32263078277502905,1.2e-10,0.31146307068384926,-13.389858779469225,-34.335952021669584,0.11783965342286075,0.000833298284533825,0.9068735347220704,191.0,18.0
NGC4389,6,1.2e-10,0.540748469578955,1.2e-10,0.5321325458769327,-0.25407189664331037,100.0954228154026,0.07977787404232238,0.0016336115665929653,2.3593800878746345,110.0,18.0
NGC4559,32,1.2e-10,0.13825498644829143,1.2e-10,0.1352804792123899,-16.729901402706396,-68.18246414440989,0.02728683742741579,0.007791362824279955,0.5502283530550941,124.0,9.0
