galaxy,n_pts,V_flat,V_max,M_b,M_gas,M_star,f_gas,g_bar_last,g_obs_last,D
NGC2976,27,85.96666666666668,88.7,1901578371.0639026,470140561.69091374,1431437809.372989,0.24723701575753496,5.145121327756188e-11,1.0387678618107486e-10,3.58
NGC2998,13,209.66666666666666,214.0,123942357662.46507,40783980767.96446,83158376894.50061,0.32905603489512736,9.666803744707059e-12,3.1586637527050116e-11,68.1
NGC3109,25,66.60000000000001,67.3,684226354.3031691,564838094.3560574,119388259.94711168,0.825513502664335,2.2930497345469338e-12,2.2757089278801213e-11,1.33
NGC3198,43,149.66666666666666,157.0,42908180125.592316,23449690849.063324,19458489276.528996,0.54650863262963,3.0788606223297956e-12,1.6322145707319055e-11,13.8
NGC3521,41,206.0,220.0,52136827608.70943,7353751874.057612,44783075734.65182,0.14104716783399326,2.3097792563061108e-11,7.752238487178683e-11,7.7
NGC3726,12,168.0,169.0,48943628393.51283,11503119494.590189,37440508898.922646,0.2350279264566101,6.452502688571624e-12,2.7792569788160204e-11,18.0
NGC3741,21,50.63333333333333,51.6,303493373.952586,289549549.0574303,13943824.895155681,0.9540555870674986,8.635475164236872e-13,1.2326723734832105e-11,3.21
NGC3769,12,117.33333333333333,126.0,18047625972.382572,8608709698.023125,9438916274.359447,0.4769995627788733,1.8222240615962666e-12,1.1135955354734904e-11,18.0
NGC3877,13,170.0,171.0,49913340458.35819,2418916054.1864333,47494424404.17176,0.04846231552473415,5.402042775406062e-11,8.154997780724756e-11,18.0
NGC3893,10,174.0,194.0,40283273308.05652,8772499705.42089,31510773602.635624,0.2177702799456076,1.5476327044821183e-11,4.744432385884357e-11,18.0
NGC3917,17,137.33333333333334,138.0,16980643783.854107,3490704283.9085145,13489939499.945593,0.20556960786301987,1.072135406364382e-11,4.093253335372291e-11,18.0
NGC3949,7,165.0,169.0,23363037599.553246,3561000036.771434,19802037562.78181,0.15242025021778538,6.51663784288697e-11,1.3091828120399715e-10,18.0
NGC3953,8,220.66666666666666,224.0,92335088356.576,5125329461.56741,87209758895.00859,0.05550792827288598,5.236097901908276e-11,9.553822339124586e-11,18.0
NGC3972,10,132.66666666666666,134.0,10487134893.92284,1832721753.9981282,8654413139.924711,0.17475905216592255,1.9229012873233224e-11,6.673280979766683e-11,18.0
NGC3992,9,240.66666666666666,272.0,143780824902.29657,21555545548.06688,122225279354.22969,0.14991947335616224,9.46544089622769e-12,3.9554543545891274e-11,23.7
