galaxy,n_pts,V_flat,e_Vflat,V_max,M_b,M_gas,M_star,f_gas,SB,D
F571-V1,7,83.56666666666668,0.445554170128076,84.3,3302356013.8917074,1819669288.0833282,1482686725.808379,0.5510215374807254,2.09,80.1
F574-1,14,99.33333333333333,0.2227770850640393,99.7,3799174625.6543055,792948841.9935645,3006225783.660741,0.20871608181395462,12.129999999999999,96.8
F574-2,5,35.333333333333336,2.372684056006958,40.0,1961916629.2697961,735905802.5607469,1226010826.7090492,0.3750953488959635,6.78,89.1
F579-V1,14,114.0,0.0,114.0,7924328152.064448,1104450024.454196,6819878127.610252,0.13937459469879024,29.79,89.5
F583-1,25,85.80000000000001,0.5185449728701356,86.9,1728799941.7904506,883053799.0254303,845746142.7650204,0.5107900443997505,6.05,35.4
F583-4,12,67.16666666666667,1.2964338551352093,69.9,1145584241.9936612,162813764.7430683,982770477.2505928,0.1421229087960597,7.529999999999999,53.3
IC2574,34,66.60000000000001,0.5792715732327576,67.5,1235778072.6627326,608705592.7569051,627072479.9058275,0.4925686951584489,4.165,3.91
IC4202,32,242.66666666666666,2.1256807188565547,250.0,165154094971.71136,7551769847.338913,157602325124.37247,0.04572559856074067,77.31,100.4
KK98-251,15,34.03333333333334,0.3138765975961242,34.6,155734064.40872183,122410676.52412243,33323387.884599395,0.7860237706431225,3.87,6.8
NGC0024,29,108.33333333333333,0.9813067629253164,110.0,4559837479.141423,501319788.84978807,4058517690.2916355,0.10994246859521452,111.41,7.3
NGC0055,21,86.66666666666667,0.31387659759612563,87.4,6304816113.846754,3703076984.475594,2601739129.37116,0.5873409973595943,7.39,2.11
NGC0100,21,90.2,0.5249338582674549,91.2,2761259521.5112777,427714101.58201724,2333545419.9292603,0.1548981898477703,9.76,13.5
NGC0247,26,107.0,0.47140452079103173,108.0,6302344390.205336,2187031016.23996,4115313373.965375,0.34701864589293013,10.92,3.7
NGC0289,28,163.0,2.0548046676563256,194.0,197000544325.1358,41021950713.94777,155978593611.18805,0.20823267699323647,0.52,20.8
NGC0300,25,92.93333333333334,0.24190601174530285,97.0,3620043953.921416,1002554543.446246,2617489410.4751697,0.2769454062457523,3.98,2.08
NGC0801,13,215.33333333333334,0.5443310539518174,238.0,367482489650.81573,24594824608.78181,342887665042.03394,0.06692788173975847,48.01,80.7
NGC0891,18,211.33333333333334,1.9626135258506328,234.0,161537642186.1563,3441017893.8069973,158096624292.3493,0.021301647388424556,48.08,9.91
NGC1003,36,113.33333333333333,0.7200822998230956,115.0,14794622537.227547,5427728605.340461,9366893931.887087,0.3668717192130267,0.025,11.4
NGC1090,24,161.33333333333334,0.5443310539518174,176.0,74609836492.91252,8112039786.189013,66497796706.72351,0.1087261434617888,11.825,37.0
NGC1705,14,71.53333333333333,0.11863420280034782,73.2,951583754.9317281,290386912.0028867,661196842.9288415,0.30516169543449245,0.19,5.73
NGC2366,26,49.46666666666667,0.2372684056006959,53.7,827783940.8274186,600092844.9209298,227691095.9064888,0.7249389790300859,0.785,3.27
NGC2403,73,135.0,0.47140452079103173,136.0,20012032518.492256,4061970749.5530005,15950061768.939257,0.20297642160033014,52.43,3.16
