m_bar,vmax,r_vmax,g_bar,g_obs
5003173900.206673,110.356,9.323590197815177,8.024395965394031e-12,4.233065844620238e-11
11733790965.456156,128.207,3.825509300265722,1.1178741888288903e-10,1.3924528977478234e-10
10543091231.178034,114.758,5.086211987009152,5.682142960151284e-11,8.391078498786601e-11
15629908473.575436,184.236,1.538086802480071,9.211446820605529e-10,7.151784928627743e-10
4017286684.3814583,110.498,6.400944788898731,1.3670291285510172e-11,6.181744528346866e-11
8563891349.276647,96.798,16.590050191910244,4.338192853611328e-12,1.8303383019328722e-11
13592958370.23915,96.6105,12.880720401535283,1.1422647799341772e-11,2.348306638463082e-11
9316356657.80927,118.914,4.751107174490699,5.7542610122090466e-11,9.645337937287244e-11
15007587835.842928,152.481,2.9133451431945674,2.465245205119735e-10,2.586341235378783e-10
13521331561.854149,95.0876,18.511219368172423,5.5015176834143e-12,1.5829202829032124e-11
2784115736.6400948,90.8013,19.95084145261293,9.752095737726419e-13,1.3392733126442026e-11
6330986123.41305,117.793,5.771036315323295,2.6503110847807532e-11,7.791686274252438e-11
5651933864.777088,86.9382,20.381163271331562,1.8970214473720673e-12,1.2018177659740577e-11
6818128136.9943905,113.688,3.3569530558015943,8.43543976483092e-11,1.247757773891189e-10
11556687333.923826,125.548,7.459551225273103,2.8956166694648726e-11,6.847833563975124e-11
4337023914.968999,107.17,9.425745497490404,6.806024437060853e-12,3.948908325344164e-11
10823294951.284323,122.483,6.3287570121051075,3.767521647683739e-11,7.682092073199517e-11
5267360496.014172,109.226,5.322704458222616,2.5921578387154424e-11,7.263835589524425e-11
13404561558.901682,88.3342,8.184233835252435,2.7901635485032748e-11,3.089769135576652e-11
8383480956.59876,117.359,6.934750516681429,2.4305010035867175e-11,6.436477545142727e-11
4416164747.564216,106.541,8.045910835547684,9.511038540829121e-12,4.571983155120555e-11
5139754945.379392,98.8055,0.5637732506643047,2.2545848621537554e-09,5.611824410992516e-10
13215397106.583998,173.926,1.920283436669619,4.996692823183952e-10,5.105167333374032e-10
3981753764.3932676,123.796,0.48095659875996455,2.3999142792928332e-09,1.0326511582159037e-09
2578978447.0032477,91.0653,10.352229111307942,3.355158708273669e-12,2.596081185382922e-11
6367493356.953055,109.854,4.157661647475642,5.13574343463684e-11,9.406518333325302e-11
13199586654.856806,287.806,0.40271626808384997,1.1347366705314258e-08,6.6657161054520066e-09
9774092116.917625,115.567,2.042367877177443,3.266943255786822e-10,2.119239341019925e-10
9601992914.08326,128.215,3.9351933864777093,8.644946850518002e-11,1.3538105470695371e-10
3915352819.6043696,92.6367,0.8073516386182463,8.374879111426113e-10,3.444686634474026e-10
7177325066.4304695,102.013,5.1362562739887805,3.793170396060228e-11,6.56614779246575e-11
7164629465.603779,126.508,3.9769707705934456,6.315707996759959e-11,1.3041570103758315e-10
10778432240.92117,143.788,2.2080011809861233,3.082407827984281e-10,3.034535930475955e-10
4917360496.014172,87.8461,2.2443165042810747,1.361121666963994e-10,1.1143129227662922e-10
3328240330.6761146,104.144,6.144227930321819,1.2291733858848869e-11,5.7206778206577046e-11
4480617065.249483,84.8892,16.61042220253912,2.264172918174352e-12,1.4059520509330593e-11
2328742249.778565,93.3186,14.303513433717153,1.5869712970803028e-12,1.9730586759562367e-11
4356761145.556539,89.2612,7.394744611750812,1.1108374106743875e-11,3.4917935789624265e-11
2457735459.1083555,94.1254,5.639799232359019,1.0773106493602805e-11,5.090920616036777e-11
2548981399.4685564,89.0792,10.858576911721286,3.0140742621183054e-12,2.3682415905381477e-11
1105506347.8004134,78.2385,21.963094183643342,3.1952680621751355e-13,9.032205426877302e-12
2223723058.75406,94.0067,0.6753764393268379,6.797073920638482e-10,4.240509187151863e-10
2436492471.2134633,93.5397,15.591378801299085,1.397427010329609e-12,1.8186692415559837e-11
10999232359.019783,123.608,2.0217006200177146,3.7519910507137514e-10,2.4491907708893243e-10
944449365.2199588,84.1445,10.765426631237084,1.1361856342807126e-12,2.1314076600561875e-11
2323959255.978742,97.7391,8.009595512252732,5.05057059902989e-12,3.865203696324573e-11
2144464127.5465014,90.9047,14.659433126660764,1.3912895982636118e-12,1.8268454112387525e-11
7933510481.251845,134.101,2.5795689400649544,1.6622801831182156e-10,2.259244289766197e-10
