g_bar,g_obs,V_c,r_kpc
5.711452815719923e-10,2.426372298394313e-09,403.2174418515866,2.1715382344257455
6.374319402376947e-10,8.760815236295614e-10,235.15025393170967,2.0454679657514023
1.478473567789168e-10,2.450076279008171e-10,196.03403907567284,5.0831118984351935
9.232852824660053e-10,3.3683000983108737e-09,420.2946824987,1.6995866548568055
9.645960428837866e-11,2.368613143998416e-10,186.7369576201422,4.771036315323295
7.859982623307837e-11,2.4208754854111213e-10,216.43506487528273,6.270888692057867
2.8974171895547027e-10,1.7600661619302143e-09,386.66501653021015,2.752878653675819
5.746253725554028e-10,8.561864971658295e-10,246.76389753115794,2.3048420431059933
1.3607058265914747e-10,2.2446179322861386e-10,202.2270176818053,5.904487747268969
5.325710641401144e-10,1.0165899657391304e-09,274.0474791192461,2.394154118689105
1.2502093008614986e-10,2.7670074117102706e-10,137.34482039337217,2.209329790374963
8.446844420052515e-11,2.4357962535069406e-10,162.80383405149934,3.5264245645113665
1.3854560786105105e-10,1.4044003567736058e-09,399.18835710267587,3.6771479185119573
7.506846851407869e-11,1.690574835808652e-10,134.62301997039216,3.47416592855034
7.818602932238124e-11,2.511300152120256e-10,176.71643221534472,4.0299675228816065
6.616576087715607e-11,1.2362052357732155e-09,395.07585499113605,4.0918216710953645
7.774943369957068e-10,9.870715315600045e-10,246.45643844290223,1.9942426926483614
1.2984579977960814e-10,1.7999239612357872e-10,182.919206912973,6.024357838795393
8.2895945845064e-10,1.3322104553103476e-09,281.76973507871327,1.9313551815766166
2.6088379531635218e-11,9.405477766787262e-11,136.464447903751,6.416592855033953
8.352414652161972e-11,3.511419491979859e-10,231.51351332582558,4.946708001180986
7.082433356449584e-12,4.175505285556055e-11,156.6464151831389,19.044877472689695
1.5570184150679266e-11,6.928845512067153e-11,129.3113279001591,7.820932979037496
6.295948655136055e-11,3.635062358429481e-10,232.4442051812059,4.816947150870977
9.286069533741693e-12,1.9646099766266846e-10,247.77690010263547,10.127251254797756
5.846813384761066e-10,9.266980464874796e-10,240.7282247309765,2.0265721877767935
1.478849638060028e-10,2.909785627035024e-10,211.9280764278196,5.0022143489814
3.720344869195842e-10,1.4939908455522132e-09,342.2304571722783,2.540596397992324
2.667048328841341e-10,5.071164297964915e-10,208.77141199573504,2.7853557720696784
9.914483248315368e-11,2.4597470068721734e-10,203.67935362635367,5.465751402421022
2.640841979339538e-10,1.4453664094365584e-09,353.3338974587123,2.799232359019782
4.379662193621558e-10,7.538751888616976e-10,221.98048556001422,2.1182462356067315
1.2862683020006016e-10,2.9151755447307614e-10,201.46792547380787,4.512252731030411
4.820033516231667e-10,2.8617261024172234e-09,422.2596527386255,2.019191024505462
5.908499802878694e-11,1.4256803355423784e-10,122.860258545655,3.43120755831119
7.060241307014578e-11,2.5418407176154106e-10,175.32189057128377,3.9189548272807797
1.0069753744009958e-11,1.3838757752894668e-10,222.20600011100993,11.562739887806318
3.345557261977191e-10,5.443598182604001e-10,177.31267641125925,1.8717153823442574
1.267181689148709e-10,2.553556415720108e-10,174.47991399452638,3.8635961027457926
1.894102340522936e-10,2.620854720887046e-09,448.540283525258,2.48774726896959
9.002104331432692e-11,2.1522826031311564e-10,161.62013460932653,3.9331266607617357
6.91275303284192e-11,2.1950549187421817e-10,197.2178262795658,5.742397401830528
3.249424020281167e-11,3.4821391993209325e-10,264.44331443790867,6.508266902863891
2.824647495593236e-10,4.826874107330416e-10,196.918847401145,2.6034839090640687
7.894399323062683e-11,1.6542289909628515e-10,174.8196850157808,5.9873043991733095
4.866599080486374e-10,2.572988025141869e-09,408.11772429131463,2.0978742249778564
4.052102709781477e-11,1.0757365209709167e-10,137.76248214877134,5.717449069973428
7.120335509102236e-11,2.5271384723306067e-10,201.79236060530317,5.221877767936227
2.917690932587775e-11,3.1417679754165454e-10,255.30917913336341,6.723649247121346
1.0579141231051377e-10,2.4906910353767443e-10,180.7100107580329,4.249040448774727
7.489930502990127e-11,2.229973135590685e-10,207.29049413559457,6.244611750811928
1.1093802347825693e-10,5.552991809233059e-10,266.64456933601923,4.149394744611751
1.452830890306061e-10,2.8947670911851994e-10,143.4337008880207,2.3032181871863004
8.1359617770134e-11,2.1265543422303057e-10,162.9710196396262,4.0475346914673755
4.613749757311823e-11,1.0281108892883103e-09,360.19496242974367,4.089607322113966
1.0538624007310786e-10,2.498904184744749e-10,146.00346459349853,2.7645408916445233
7.433854700822742e-11,2.3192983749452918e-10,170.21815703725503,4.0485680543253615
6.157577139283641e-11,1.2499843597626486e-09,373.5067448209382,3.6169176262178917
5.612706990604808e-11,1.5507489056678685e-10,124.53508356282202,3.241068792441689
5.673612678799894e-11,2.2953971763593333e-10,167.4231015416338,3.9574844995571303
1.2280035832808872e-11,3.6220289893406657e-10,278.2896993382617,6.929288455860644
4.1031727882915636e-11,1.1165279843969437e-10,123.22258764705424,4.407144966046649
6.721298126637488e-11,2.682195489814797e-10,189.48276137775804,4.3380572778269855
3.966514903759088e-12,7.826174687641883e-11,185.0191400283072,14.175228816061411
9.955199326494847e-11,2.2859511414899692e-10,159.38811669532276,3.6015648066135224
7.860948733515914e-11,2.3140776326430704e-10,188.4685265913997,4.974461175081193
7.494520205925337e-11,7.007232457808856e-10,299.5900962338845,4.151018600531444
4.661535697872061e-10,6.959215347083616e-10,215.72348102971088,2.1671095364629465
1.39721475676576e-10,2.431450469938441e-10,193.0227532817113,4.965899025686448
3.60770250647834e-10,8.878066865214886e-10,259.7781339723888,2.4633894301741956
2.832487590153836e-10,4.638452518644645e-10,198.86526438832857,2.7630646589902566
9.44748835284314e-11,1.756060468068643e-10,178.9326762219082,5.908621198700915
2.7132334334332004e-10,6.453739235754565e-10,237.109704050376,2.823147328018896
1.59472633403579e-10,2.7994807517371946e-10,167.44265776590757,3.245645113669914
4.7023365772858344e-11,1.0978151942806632e-10,159.0658551866871,7.469146737525834
3.724833751499062e-11,1.4673212680899165e-10,185.28395976150458,7.582226158842633
6.003718095749889e-11,1.4848225762484026e-10,140.22855517339167,4.291851195748451
6.723337185574384e-11,2.178302105590637e-10,185.7283413874755,5.131975199291408
2.2956461064490448e-11,2.640204486551484e-10,237.79883937158237,6.941098317094775
3.068330174151531e-11,8.300192777452945e-11,89.67931814190597,3.140094478889873
6.313594011146434e-11,2.1359513189896022e-10,143.73609299829198,3.134632418069088
2.7898186115150996e-12,4.3321885339667464e-11,159.422274135613,19.012400354295835
8.392988524792255e-11,2.0058091872315972e-10,147.46761768940183,3.5135813404192504
7.268679863412686e-11,2.476325141053425e-10,188.5068564305418,4.650428107469737
2.031391300356395e-11,2.543132766657991e-10,236.74247914800733,7.142161204605846
4.039768552328054e-11,1.2896974032566543e-10,133.96444764588333,4.509595512252731
1.0306095351347033e-10,4.840579050868633e-10,221.89984472977923,3.2965751402421017
1.818779974445129e-11,3.211327693993296e-10,258.19651472549043,6.727635075287865
5.572397164456092e-10,7.153957513962239e-10,209.948184728895,1.9967522881606141
1.2855582148067316e-10,1.8710595295528884e-10,173.82257388455423,5.233244759374077
6.990025965728513e-10,1.1283541067152286e-09,249.1474773214737,1.7828461765574255
2.7325208410720452e-11,8.340227322610189e-11,97.66537217755108,3.7063773250664305
5.90313712484893e-11,2.6177511200125113e-10,163.3537338896933,3.303513433717154
4.63394802110855e-12,5.974638049805796e-11,169.98914484614568,15.67390020667257
9.71153506695925e-09,9.71153506695925e-09,381.15337499332276,0.48479480366105704
8.406197918013693e-10,8.406197918013695e-10,238.0672136025938,2.184971951579569
6.319976618673232e-09,6.324307633650594e-09,342.46114066092537,0.6009743135518157
1.5076187586000596e-10,2.990318761656608e-10,166.6889422277287,3.011219368172424
